FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c82,492377,POINT (16.36504852651358 48.198105632750966),GA Kühnplatz,4,"Rutschen, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c81,492378,POINT (16.458536682939542 48.28154454798937),PA Gerlosplatz,21,"Basketball, Fußball, Klettern, Rutschen, Schaukeln, Wippen","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c80,492379,POINT (16.244836507943734 48.20762962948662),Franz-Sauer-Park,14,"Basketball, Klettern, Rutschen, Schaukeln, Wippen","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c7f,492380,POINT (16.30220768174923 48.22333998631533),PA Spinozagasse,16,", Klettern, Schaukeln",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c7e,492381,POINT (16.382602313242806 48.27785930591953),PA Schlossergasse,21,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c7d,492382,POINT (16.382871908209758 48.2771111028901),PA Schlossergasse,21,"Balancieren, Drehen, Klettern, Rutschen, Sand-Matsch, Schaukeln, Seilbahn, Wasserspiel, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c7c,492383,POINT (16.404893142695165 48.22466475220449),Mexikopark – Kirche,2,"Basketball, Fitness, Fußball, Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c7b,492352,POINT (16.415448153117296 48.1809265214348),PA Fuchsröhrenstraße,11,"Drehen, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c7a,492353,POINT (16.385867841204384 48.22510764786719),Else-Feldmann-Park,2,"Fitness, Klettern, Sandspielen, Schaukeln, Wippen","Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c79,492354,POINT (16.455753961139504 48.276331887527434),PA Ernst-Kein-Gasse,21,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c78,492355,POINT (16.456008275895805 48.277138914774966),PA Ernst-Kein-Gasse,21,Fußball,Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c77,492356,POINT (16.385562358643217 48.24312038425713),Rechter Donaudamm Spielplatz 4,20,"Drehen, Klettern, Rutschen, Sand-Matsch, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c76,492357,POINT (16.33271447930533 48.150222966514676),Inzersdorfer Schubertpark,23,Skaten,Skaterpark,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c75,492358,POINT (16.329868943798 48.21113523932697),Leon-Askin-Park,16,Rutschen,Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c74,492359,POINT (16.331992370023045 48.21056834729696),Leon-Askin-Park,16,"Brettspiel, Spieltier","Kleinkinderspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c73,492360,POINT (16.302394030302853 48.19239832988446),Eduard-Gurk-Park,14,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c72,492361,POINT (16.336870984098244 48.23442230300559),Türkenschanzpark,18,"Basketball, Beachvolleyball, Drehen, Fußball, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Skaten, Slackline, Trampolin, Wasserspiel, Wippen","Ballspielplatz, Skaterpark, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c71,492362,POINT (16.333853887582446 48.2345437141514),Türkenschanzpark,18,"Drehen, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c70,492363,POINT (16.329399277901306 48.234598503277255),Türkenschanzpark,18,Basketball,Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c6f,492364,POINT (16.332861800257007 48.23576971934849),Türkenschanzpark,18,"Sandspielen, Spielhaus, Tischtennis","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c6e,492365,POINT (16.44405925852223 48.23879484306982),PA Düsseldorfstraße,22,"Karussel, Klettern, Rutschen, Sandspiel, Schaukeln, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c6d,492366,POINT (16.346877034033913 48.19237505583608),Hubert-Marischka-Park,6,"Balancieren, Basketball, Fußball, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wasserspiel, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c6c,492367,POINT (16.475607799447765 48.214236970749596),Trygve-Lie-Park,22,"Basketball, Fußball, Klettern, Rutschen, Schaukeln, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c6b,492368,POINT (16.387534819080614 48.20598518030331),Josef-Pfeifer-Park,3,"Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c6a,492369,POINT (16.424670843880676 48.15735881876359),PA Pretschgasse,11,"Basketball, Fußball, Karussell, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Spielhaus, Wasserspiel","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c69,492370,POINT (16.40322432856718 48.226403730280104),Mexikopark – Rosenpark,2,"Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c68,492371,POINT (16.534850894295214 48.229312904926545),PA Kaschauerplatz,22,"Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Slackline, Streetball, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c67,492372,POINT (16.362908489831018 48.18465115549212),Klieberpark,5,"Balancieren, Fußball, Karussell, Klettern, Schaukeln, Slackline, Trampolin, Wippen","Ballspielkäfig, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c66,492373,POINT (16.24961949754611 48.21788083497175),Ulmenpark,14,"Balancieren, Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c65,492384,POINT (16.412191733638206 48.22099528006846),Rechter Donaudamm Spielplatz 7,2,"Karussell, Klettern, Sandspielen, Schaukeln, Wippen",Spielplatz,
